Site	Biogeographic_realm	Disturbance	Activity	Time	Cover_100	LPS_100	MPS_100	Iso_100	Ratio_100	Plants	Invertebrates	Birds	Herpetofauna	Mammals	Cover	Density	Biomass	Height	Litter	Metric	abRR
2	Neotropic	secondary	passive	13.5	59.421	10.25601582	8.467639341	332.844	3.213	0	0	0	0	0	0	0	0	1	0	structure	0.184
2	Neotropic	secondary	passive	13.5	59.421	10.25601582	8.467639341	332.844	3.213	0	0	0	0	0	1	0	0	0	0	structure	0.2183
2	Neotropic	secondary	passive	13.5	59.421	10.25601582	8.467639341	332.844	3.213	0	0	0	0	0	0	0	1	0	0	structure	0.5596
2	Neotropic	secondary	passive	13.5	59.421	10.25601582	8.467639341	332.844	3.213	1	0	0	0	0	0	0	0	0	0	abundance	0.47
2	Neotropic	secondary	passive	13.5	59.421	10.25601582	8.467639341	332.844	3.213	1	0	0	0	0	0	0	0	0	0	abundance	0.4595
2	Neotropic	secondary	passive	13.5	59.421	10.25601582	8.467639341	332.844	3.213	1	0	0	0	0	0	0	0	0	0	abundance	0.7538
2	Neotropic	secondary	passive	13.5	59.421	10.25601582	8.467639341	332.844	3.213	1	0	0	0	0	0	0	0	0	0	richness	0.0953
2	Neotropic	secondary	passive	13.5	59.421	10.25601582	8.467639341	332.844	3.213	1	0	0	0	0	0	0	0	0	0	richness	0.0351
2	Neotropic	secondary	passive	13.5	59.421	10.25601582	8.467639341	332.844	3.213	1	0	0	0	0	0	0	0	0	0	richness	0.5978
3	Neotropic	secondary	passive	10	23.853	9.510675036	7.411190366	208.568	3.067	0	0	0	0	0	0	0	0	1	0	structure	1.5706
3	Neotropic	secondary	passive	25	23.853	9.510675036	7.411190366	208.568	3.067	0	0	0	0	0	0	0	0	1	0	structure	0.2207
3	Neotropic	secondary	passive	10	23.853	9.510675036	7.411190366	208.568	3.067	0	0	0	0	0	0	0	1	0	0	structure	0.632
3	Neotropic	secondary	passive	25	23.853	9.510675036	7.411190366	208.568	3.067	0	0	0	0	0	0	0	1	0	0	structure	0.6138
3	Neotropic	secondary	passive	10	23.853	9.510675036	7.411190366	208.568	3.067	0	1	0	0	0	0	0	0	0	0	richness	0.9619
3	Neotropic	secondary	passive	25	23.853	9.510675036	7.411190366	208.568	3.067	0	1	0	0	0	0	0	0	0	0	richness	0.1659
3	Neotropic	secondary	passive	10	23.853	9.510675036	7.411190366	208.568	3.067	0	1	0	0	0	0	0	0	0	0	abundance	0.1559
3	Neotropic	secondary	passive	25	23.853	9.510675036	7.411190366	208.568	3.067	0	1	0	0	0	0	0	0	0	0	abundance	0.2512
3	Neotropic	secondary	passive	10	23.853	9.510675036	7.411190366	208.568	3.067	0	1	0	0	0	0	0	0	0	0	diversity	1.5435
3	Neotropic	secondary	passive	25	23.853	9.510675036	7.411190366	208.568	3.067	0	1	0	0	0	0	0	0	0	0	diversity	0.0183
4	Neoarctic	secondary	active_managed	4	0.841	8.22788271	7.163024791	16.976	2.841	0	1	0	0	0	0	0	0	0	0	richness	0.47
